"","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$"
"Bulgaria","380.70","326.67","285.05","292.27","281.43","252.30","229.96","252.76","237.80","274.85","254.93","216.98","212.18","203.17","159.85","130.35","108.24","94.58","76.90","60.24","52.65","38.23"
"Burkina Faso","22.27","20.80","17.41","16.50","16.67","14.45","15.23","16.83","17.60","13.06","12.99","11.06","11.27","9.84","8.00","6.79","5.89","5.64","4.24","3.60","3.52","3.40"
"Burundi","6.99","6.30","5.40","5.54","6.15","5.83","6.11","6.20","4.76","5.10","6.49","7.38","6.96","6.75","6.73","6.02","4.69","3.69","3.18","3.48","3.68","3.74"
"Cote d'Ivoire","42.32","42.33","41.83","41.63","39.96","39.43","38.72","52.10","51.29","50.27","54.06","54.80","54.44","57.08","50.79","48.77","51.60","55.12","53.58","47.75","45.70","45.10"
"Cabo Verde","50.32","44.84","51.11","51.26","49.05","45.22","41.88","50.45","48.87","45.40","43.76","43.87","32.33","31.87","29.80","27.42","24.10","22.75","20.89","16.61","15.16","15.39"
"Cambodia","72.26","74.82","79.21","61.96","50.90","46.42","42.01","43.26","44.21","42.27","47.45","35.91","37.74","33.44","15.44","21.32","22.03","18.70","17.17","17.93","17.20","15.45"
"Cameroon","44.89","41.74","42.60","43.85","43.42","40.99","40.24","45.63","44.99","42.75","42.11","39.92","41.23","42.57","38.65","34.33","33.21","32.45","28.83","23.38","21.33","23.51"
"Canada","1752.14","1490.97","1559.83","1540.10","1495.13","1407.74","1364.03","1530.39","1595.12","1633.96","1614.52","1531.18","1301.96","1358.43","1283.86","1158.01","887.46","785.58","685.54","592.41","559.13","543.42"
"Central African Republic","21.37","20.26","20.89","20.83","15.93","11.38","8.78","8.54","7.76","12.18","11.33","9.99","11.01","11.18","9.79","8.61","7.97","7.69","6.84","5.38","5.07","4.75"
"Chad","21.61","22.31","20.57","21.46","20.22","19.85","21.61","26.46","25.49","24.23","25.59","26.67","25.59","28.44","24.68","23.93","19.50","15.66","9.60","12.73","7.38","6.06"
"Chile","673.64","559.78","672.18","716.66","678.39","593.96","589.10","601.04","619.60","563.04","525.59","460.48","392.22","410.34","375.27","335.31","303.82","258.74","216.00","201.66","208.07","229.05"
"China","307.98","264.15","237.54","220.01","190.89","167.08","156.77","150.85","141.46","126.13","110.77","90.83","83.47","74.25","60.11","53.58","49.13","44.94","40.61","37.35","34.26","33.53"
"Colombia","152.82","132.72","150.84","146.80","143.43","132.65","136.69","173.69","174.79","161.74","132.08","125.27","107.01","115.79","89.27","65.19","56.97","40.16","26.85","30.20","34.37","34.17"
"Comoros","59.01","58.43","51.63","53.03","50.20","47.36","48.13","57.52","57.42","53.84","54.77","58.21","61.05","64.21","59.56","54.37","53.72","53.49","48.44","40.32","38.05","39.06"
"Congo","35.60","37.04","28.95","28.22","28.65","28.28","20.50","24.18","23.10","22.05","25.06","23.88","25.44","25.14","21.44","18.18","16.65","15.81","13.58","10.76","9.62","9.47"
"Cook Islands","17.54","15.31","18.06","19.88","18.85","16.73","18.24","21.83","21.40","23.58","25.96","22.74","21.47","37.59","36.95","41.34","37.21","41.38","34.12","22.93","18.58","18.65"
"Costa Rica","284.09","267.41","251.26","249.01","225.71","232.03","238.86","238.27","236.57","227.15","220.25","179.73","152.39","163.72","142.74","121.62","111.01","97.92","95.67","90.47","84.68","84.13"
"Croatia","219.89","199.43","191.88","179.77","154.77","144.19","134.31","145.10","133.02","178.68","204.17","186.88","203.90","203.55","141.25","125.18","109.15","128.07","95.62","81.11","69.12","55.57"
"Cuba","","105.81","109.92","108.74","104.88","101.23","94.82","83.29","87.22","78.97","75.28","55.91","54.77","53.92","55.79","55.26","49.28","45.57","46.28","41.46","37.15","29.40"
"Cyprus","428.98","582.56","945.29","1164.06","1030.66","952.79","906.44","1056.61","1021.74","1009.30","1092.02","1091.16","1198.35","1248.41","952.50","833.91","792.22","748.57","635.12","489.95","451.13","438.24"
"Czechia","345.40","266.17","276.42","271.07","243.37","222.79","210.87","245.99","239.68","238.42","260.79","234.82","246.86","275.45","179.93","136.58","125.97","92.53","80.20","59.36","48.77","38.74"
"Democratic Republic of the Congo","10.21","9.87","9.01","8.89","8.92","8.79","8.43","8.64","7.28","6.30","5.42","5.63","6.86","8.89","8.48","8.10","6.77","6.38","4.72","3.55","4.67","13.19"
"Denmark","1092.10","982.11","987.02","1012.83","935.97","889.68","870.97","1006.02","984.27","964.33","1034.23","970.96","966.93","980.82","890.89","770.82","722.21","690.10","580.38","468.95","431.89","421.65"
"Djibouti","18.87","17.68","20.61","19.87","18.17","17.14","16.26","15.90","15.36","15.92","15.81","15.36","15.74","16.20","17.21","17.09","16.46","16.03","16.38","16.61","16.61","16.21"
