"","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$"
"Myanmar","45.87","57.06","48.97","46.16","44.71","45.41","44.48","35.57","27.01","28.36","21.02","16.22","15.28","12.04","8.09","6.32","6.28","5.50","5.44","5.79","3.95","3.81"
"Namibia","202.68","171.20","207.58","230.81","222.20","198.47","258.13","222.80","234.89","280.46","270.23","233.68","163.44","151.70","170.05","144.53","129.88","129.76","105.90","71.54","80.49","85.12"
"Nauru","41.55","36.64","36.63","35.07","38.67","43.29","42.50","75.14","65.62","51.50","46.39","39.60","38.68","33.84","23.52","23.99","24.30","26.00","22.24","18.96","17.70","19.87"
"Nepal","35.30","34.63","33.43","31.70","30.59","32.96","32.33","29.21","25.41","23.40","24.55","20.28","13.39","12.60","11.56","6.81","8.10","7.57","6.66","6.09","5.94","5.25"
"Netherlands (Kingdom of the)","1978.97","1821.21","1814.77","1825.48","1759.71","1639.78","1586.47","1801.17","1713.62","1665.81","1757.85","1638.77","1686.77","1745.05","1601.96","1385.41","1207.27","1158.67","967.94","764.02","660.67","627.97"
"New Zealand","1126.49","934.58","1016.78","996.15","958.13","951.54","911.27","946.11","897.81","828.72","775.92","702.67","604.65","637.79","560.40","525.15","529.42","455.39","394.91","313.55","282.78","269.10"
"Nicaragua","63.94","54.63","56.45","58.82","63.11","61.92","60.76","57.39","53.83","52.09","48.99","45.78","44.83","45.76","40.26","34.23","29.81","28.58","26.90","27.66","25.19","24.77"
"Niger","16.90","16.30","15.32","16.51","14.84","13.67","14.06","14.45","14.21","14.15","15.59","14.29","14.46","14.36","12.34","10.91","10.51","9.21","8.38","7.05","6.37","5.95"
"Nigeria","66.12","52.64","50.53","50.42","56.90","59.98","70.90","78.96","73.85","68.64","64.58","60.58","52.95","60.92","51.30","48.25","37.21","29.96","29.65","12.89","12.28","11.42"
"Niue","11.31","11.96","11.42","11.35","9.93","9.38","9.34","16.77","16.67","16.89","16.40","14.41","11.73","11.76","11.21","9.71","9.03","7.95","7.05","5.95","4.80","4.50"
"North Macedonia","255.02","179.39","167.51","161.99","143.23","115.02","105.01","119.82","117.88","111.22","119.61","116.92","104.20","100.92","98.71","98.01","95.97","99.50","94.98","75.41","65.48","70.51"
"Norway","1302.74","1100.39","1143.70","1182.59","1162.94","1096.07","1095.90","1341.40","1384.07","1367.47","1386.40","1200.02","1132.70","1228.21","1123.90","981.68","946.54","865.67","779.81","665.77","533.03","540.17"
"Oman","109.21","93.03","90.68","86.75","76.03","72.29","74.91","72.99","73.52","97.17","98.23","96.52","94.95","97.85","73.89","64.86","56.45","53.98","48.35","44.06","45.39","46.52"
"Pakistan","26.14","22.33","22.17","24.84","26.81","24.98","23.71","22.28","19.22","17.64","18.21","17.59","17.40","19.03","20.80","19.61","14.18","10.52","9.62","8.49","8.30","9.71"
"Palau","712.34","719.50","693.86","697.04","708.80","672.47","618.84","525.96","491.67","412.08","352.01","330.55","317.42","292.78","277.90","252.04","220.17","190.83","179.15","171.46","139.33","140.06"
"Panama","613.67","617.90","578.63","514.73","432.38","410.85","384.62","351.90","300.74","289.16","251.35","212.42","183.87","166.57","160.12","140.29","130.82","126.07","114.32","114.16","107.72","105.92"
"Papua New Guinea","6.36","5.87","5.75","5.71","5.01","5.52","5.63","5.34","5.08","6.52","6.47","4.87","3.82","3.04","2.60","2.45","2.27","2.19","1.94","1.81","1.62","1.79"
"Paraguay","211.25","189.61","223.11","231.67","218.66","201.78","205.94","228.22","217.45","194.71","191.31","154.60","131.53","147.75","104.26","78.39","62.96","58.12","46.02","43.69","58.13","60.79"
"Peru","143.87","120.25","135.31","139.20","125.20","118.76","120.65","133.29","139.90","144.02","126.28","112.78","99.54","97.66","79.61","65.14","52.80","48.30","45.44","47.13","41.94","39.01"
"Philippines","122.06","89.99","83.91","76.84","73.58","72.66","70.59","70.01","87.68","81.12","71.11","60.31","52.84","52.58","43.62","35.15","29.22","20.65","19.51","16.45","15.70","17.07"
"Poland","322.78","287.74","289.61","282.42","283.30","253.56","246.24","273.63","259.61","245.94","250.94","231.84","214.62","257.03","200.35","162.59","146.56","127.53","106.58","94.89","83.88","75.65"
"Portugal","1010.50","837.68","869.83","859.30","774.61","718.90","685.23","786.87","764.62","765.56","799.56","755.42","848.13","895.81","786.80","678.33","527.18","506.67","423.65","318.61","302.50","300.81"
"Qatar","289.60","266.17","301.97","300.94","296.95","294.56","295.26","299.11","320.87","357.49","393.62","379.02","378.41","323.30","322.28","332.55","338.17","313.69","277.19","247.36","220.96","223.59"
"Republic of Korea","1271.55","1063.73","1097.55","1066.09","956.42","876.57","827.59","822.79","724.46","672.83","639.42","567.31","455.55","489.59","496.66","445.58","391.86","310.38","280.31","232.71","223.37","234.61"
"Republic of Moldova","128.23","98.40","104.95","112.68","109.01","81.33","87.96","90.58","100.49","97.14","98.89","83.62","97.06","90.02","61.27","46.62","34.03","24.91","19.18","16.30","13.19","10.09"
"Romania","209.68","160.05","146.68","139.56","118.87","103.90","97.55","106.08","103.17","92.93","106.69","94.58","95.74","98.33","76.34","59.75","50.41","49.06","24.30","18.93","15.96","14.50"
"Russian Federation","269.76","216.46","254.07","247.05","248.88","200.37","206.05","282.62","304.39","275.45","255.57","218.99","195.90","227.61","175.00","134.70","105.28","85.83","68.58","58.28","49.19","38.47"
"Rwanda","14.05","13.77","13.80","13.34","12.46","12.50","12.77","10.89","11.29","12.19","11.82","10.97","10.13","9.21","7.54","6.39","7.24","5.49","4.21","2.98","3.02","3.22"
"Saint Kitts and Nevis","473.78","485.25","611.14","596.18","682.25","685.14","638.14","559.88","570.56","527.63","555.80","521.89","522.39","549.02","396.45","378.23","293.05","248.79","268.35","262.08","246.83","258.20"
"Saint Lucia","250.18","237.32","242.28","252.15","257.15","244.44","255.27","269.19","280.19","264.36","287.33","271.10","274.57","286.17","311.44","259.26","216.23","205.90","216.10","197.11","185.14","186.44"
"Saint Vincent and the Grenadines","129.62","119.39","114.53","120.74","118.91","114.52","112.58","113.04","107.06","105.70","100.15","100.91","98.07","98.00","97.22","81.38","73.46","68.26","59.87","55.08","51.40","45.04"
"Samoa","31.22","29.11","28.59","27.46","28.00","28.40","26.01","28.80","28.85","28.89","27.53","24.74","22.88","23.65","20.45","18.08","16.73","14.32","12.45","10.15","8.29","7.14"
"San Marino","489.87","394.10","432.46","445.90","459.16","452.12","484.90","498.41","454.61","493.50","506.56","507.47","786.97","834.43","735.42","660.79","647.05","659.02","579.87","557.96","533.50","556.73"
"Sao Tome and Principe","25.01","21.76","20.11","19.98","18.73","17.26","14.66","20.12","20.72","17.70","18.80","17.62","20.53","22.35","23.21","24.89","28.41","26.54","24.12","22.36","21.57","22.85"
"Saudi Arabia","331.89","294.32","335.46","383.48","355.06","378.26","377.79","352.41","322.02","304.43","272.12","249.39","226.30","204.91","166.10","145.00","126.49","111.78","102.47","98.60","102.15","103.52"
"Senegal","39.72","38.21","37.61","35.76","33.10","31.62","31.10","35.47","38.99","35.36","35.22","30.49","28.79","26.86","22.96","18.69","18.43","26.78","22.07","16.62","13.97","13.36"
"Serbia","343.16","256.62","256.47","246.51","218.35","204.24","205.88","250.75","247.65","207.91","235.59","207.77","218.85","254.79","210.14","136.72","103.84","85.10","66.59","48.22","37.21","19.51"
"Seychelles","168.76","168.24","205.90","206.10","194.24","198.12","171.38","196.35","125.06","142.52","121.25","135.81","106.08","129.20","92.12","107.85","108.80","95.74","75.32","57.61","95.43","63.34"
"Sierra Leone","22.31","24.60","25.07","26.65","25.59","40.85","46.80","55.89","51.79","34.22","29.09","20.72","25.03","26.00","22.47","19.40","17.87","16.36","16.72","15.86","14.63","14.73"
"Singapore","1469.08","1349.87","1364.69","1320.55","1344.71","1290.55","1206.12","1202.77","1206.41","1107.75","1050.38","953.71","857.52","801.53","732.25","642.42","598.05","573.10","524.39","510.97","496.98","504.51"
"Slovakia","341.37","274.94","284.31","270.19","249.16","235.59","235.74","266.45","365.73","381.01","377.22","376.03","374.39","316.38","321.97","221.11","149.52","108.88","44.78","30.65","25.18","25.46"
"Slovenia","737.55","657.53","613.13","598.61","542.89","508.63","508.71","607.90","610.37","575.65","595.68","557.44","594.69","606.74","534.49","435.64","402.56","383.37","337.24","260.51","243.23","227.91"
"Solomon Islands","3.87","3.73","3.82","3.42","2.99","2.97","2.94","3.17","3.21","3.08","3.08","2.99","2.51","2.76","2.58","2.32","1.94","1.73","1.58","2.01","2.85","2.54"
"South Africa","222.92","181.53","223.52","237.78","223.73","191.63","205.99","233.95","253.76","272.43","284.83","257.72","207.86","199.24","206.59","196.73","194.97","201.71","158.08","117.25","134.05","149.26"
"South Sudan","11.21","22.87","17.90","9.53","6.33","","","","","","","","","","","","","","","","",""
"Spain","918.39","778.54","800.16","816.27","744.58","676.07","673.82","796.77","762.38","722.46","771.33","712.90","732.31","800.19","721.86","625.57","586.05","551.31","474.16","328.99","292.82","278.33"
"Sri Lanka","81.80","77.95","82.29","84.22","81.94","83.24","80.34","72.85","72.59","63.61","66.25","61.99","57.36","51.18","36.72","30.18","26.48","23.70","18.51","19.81","19.29","19.87"
"Sudan","13.50","13.76","25.13","24.98","54.49","70.58","82.32","66.17","80.30","55.00","57.85","49.29","45.90","56.40","51.94","34.06","22.55","18.61","15.61","11.50","10.57","9.67"
"Suriname","116.40","162.28","176.49","137.09","134.01","125.52","233.93","257.48","250.67","234.39","208.78","206.10","194.35","176.85","150.68","143.14","122.99","103.61","83.83","76.01","46.91","61.80"
"Sweden","971.45","829.65","840.93","913.69","892.79","894.01","897.97","1055.08","1070.16","987.17","985.60","773.34","723.25","809.76","753.62","664.34","628.19","603.76","524.69","428.57","384.76","337.38"
"Switzerland","6951.10","6463.80","6196.79","6062.25","6033.29","6029.16","6042.32","6147.13","6034.46","5650.43","5979.65","5052.98","4951.35","4870.11","4264.55","3935.85","3912.29","3876.44","3442.42","2890.80","2635.66","2542.92"
"Syrian Arab Republic","","","","","","","","","","33.90","39.96","47.90","47.48","44.08","37.59","33.12","31.08","31.63","31.36","34.48","34.22","35.10"
"Turkiye","93.50","83.61","88.68","87.68","97.49","99.15","97.69","116.43","118.36","108.29","109.83","117.25","96.32","153.91","158.08","128.29","116.32","83.79","67.93","55.34","49.63","75.41"
"Tajikistan","46.74","45.50","44.08","40.94","36.66","36.96","40.04","46.22","42.40","37.09","31.04","29.93","27.21","28.50","20.29","14.09","11.76","10.64","8.13","6.43","5.79","4.68"
"Thailand","107.67","90.17","81.63","79.91","69.13","63.47","62.39","51.44","49.52","48.18","45.03","44.20","40.30","36.68","30.57","29.01","32.93","29.67","28.01","26.17","25.72","27.85"
"Timor-Leste","7.95","8.08","8.31","8.02","10.08","10.42","11.44","10.63","7.15","6.77","6.66","6.22","4.47","4.99","5.63","6.69","9.91","8.07","7.01","","",""
"Togo","40.01","38.01","38.02","39.69","36.41","36.24","24.48","27.82","25.77","23.46","24.00","21.41","20.91","20.27","16.99","13.84","13.67","13.29","12.59","10.53","9.45","9.61"
"Tonga","21.84","20.40","21.66","21.54","19.75","18.04","19.04","21.04","22.03","22.59","24.50","24.29","21.47","21.09","20.49","19.25","17.13","13.75","11.71","10.42","8.97","10.41"
"Trinidad and Tobago","592.07","568.96","578.37","544.34","505.21","518.53","503.08","491.68","460.79","448.69","428.05","418.84","398.69","383.92","352.85","308.37","269.38","242.02","193.07","186.96","153.42","166.11"
"Tunisia","103.05","94.76","85.40","100.72","101.23","106.36","113.63","118.61","114.52","114.34","112.72","102.41","100.40","102.22","91.97","83.70","82.35","80.65","71.39","59.29","53.72","51.75"
"Turkmenistan","473.66","397.17","401.34","374.62","362.54","331.59","296.41","307.42","258.91","224.10","196.44","162.21","141.67","206.97","201.10","296.16","264.50","239.90","138.84","84.78","79.66","40.40"
"Tuvalu","28.66","25.88","25.21","17.94","20.49","18.51","5.86","18.61","19.46","20.01","20.51","15.36","13.63","18.75","15.35","11.05","15.40","16.13","17.26","12.94","9.30","1.82"
"Uganda","15.21","14.05","14.32","13.10","12.87","16.85","16.83","23.59","24.23","21.42","20.04","20.14","19.64","21.78","20.27","17.58","13.00","7.48","6.70","7.10","7.02","7.15"
"Ukraine","180.22","136.79","134.64","116.41","95.45","79.45","80.16","108.63","143.87","129.14","120.56","91.62","69.08","89.22","74.72","58.01","47.72","37.50","30.45","25.73","22.83","18.44"
"United Arab Emirates","844.14","855.11","967.90","927.24","780.06","379.44","413.78","480.71","448.89","406.54","413.91","386.24","338.11","477.08","465.67","450.16","422.48","390.92","334.16","318.44","170.82","234.73"
"United Kingdom of Great Britain and Northern Ireland","935.35","799.04","852.44","841.70","751.32","751.61","851.01","903.96","832.11","811.93","794.07","748.02","734.51","791.26","789.07","703.39","647.58","651.92","587.09","457.20","444.06","463.04"
"United Republic of Tanzania","9.85","9.50","8.99","8.82","8.56","8.33","9.12","10.48","11.21","11.76","11.09","12.11","11.91","12.10","10.58","9.42","9.60","9.01","9.12","7.48","6.44","4.97"
"United States of America","5357.07","5055.16","5136.64","4991.51","4835.66","4685.08","4496.95","4345.83","4259.33","4234.24","4096.51","4006.63","3915.28","3858.04","3827.28","3639.96","3491.82","3300.76","3141.17","2906.85","2668.86","2521.83"
"Uruguay","420.24","405.07","560.14","524.04","508.30","442.96","445.33","471.04","503.13","476.46","474.01","412.61","332.18","350.50","294.66","259.32","241.77","177.28","180.84","225.25","371.17","405.33"
"Uzbekistan","95.54","64.82","57.54","50.24","53.45","71.59","64.35","53.94","78.77","71.86","63.84","53.85","40.57","35.10","27.24","21.58","18.72","16.68","15.16","15.18","18.51","21.52"
"Vanuatu","13.34","13.82","11.27","11.96","12.39","12.20","11.94","12.62","12.54","12.53","12.81","11.67","9.85","9.72","9.06","8.18","8.04","7.83","7.01","4.50","4.83","4.87"
"Venezuela (Bolivarian Republic of)","105.67","95.63","71.08","80.04","","","","","","","","","","","","","","","","","",""
"Viet Nam","92.26","88.54","101.41","94.20","82.76","72.68","66.42","63.14","54.52","57.99","57.30","49.25","41.58","37.27","31.37","26.09","20.85","16.72","13.40","11.04","15.86","11.32"
"Yemen","","","","","","","51.93","58.40","56.16","50.91","45.03","48.37","47.13","46.29","39.11","32.23","27.05","22.93","18.94","12.94","11.98","11.10"
"Zambia","6.04","6.05","7.34","8.53","11.38","10.66","9.50","11.89","12.81","10.82","9.29","10.35","11.07","16.68","17.36","21.35","15.78","12.53","10.24","8.65","9.50","8.69"
"Zimbabwe","13.95","11.27","13.04","41.37","34.81","53.24","57.73","52.86","51.56","49.78","47.74","45.43","","","","","","","","","",""
